,Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
39,2020-11-27,Chumbak,lifestyle,Gifting Startup,Bangalore,gaja capital fund (gcfii-a),Pre-series E,1001047.92,https://www.chumbak.com/
40,2020-11-25,Shipsy,B2B SaaS,Software Automation Of Logistics,Gurgaon,"sequoia capital india’s surge, info edge",Series A,6003806.0,http://shipsy.in/
41,2020-11-25,Cityflo,Automotive,App-based bus commute startup,Mumbai,lightbox ventures,Series A,7700000.0,https://https://https://cityflo.com///
42,2020-11-25,Unacademy,Edtech,Online Learning Platform,Bangalore,"tiger global management, dragoneer investment group",Venture ,75000000.0,https://unacademy.com/
43,2020-11-24,Cashfree,Fintech,Payments and banking technology,Bangalore,"matrix partners india, saif partners, ward ferry management and bertelsmann india",Series B,35300000.0,http://www.cashfree.com/
44,2020-11-23,Country Delight,Agritech,Milk delivery startup,Gurugram,elevation capital,Series C,25000000.0,https://countrydelight.in/
45,2020-10-28,FlexiLoans,Fintech,Digital Lending Platform,Mumbai,falguni and sanjay nayar family office,Equity and Debt ,20160000.0,https://flexiloans.com/
46,2020-10-28,Betterplace,IT,Blue Collar Workforce Management Platform,Bangalore,jungle ventures,Series B,10000000.0,https://www.betterplace.co.in/
47,2020-10-28,Nykaa,Ecommerce,"Beauty, Fashion, Lifestyle, Wellness",Mumbai,alia bhatt,Personal Investment,2000000.0,https://www.nykaa.com/
48,2020-10-28,CredAble,Fintech,Supply Chain Finance,Mumbai,oaks asset management and v’ocean investment,Follow-On,4500000.0,https://www.credable.in/
49,2020-10-27,Origo,Agritech,Agricultural Commodities Management,Gurgaon,northern arc capital,Debt ,4700000.0,https://www.origoindia.com/
50,2020-10-27,FreshToHome,Ecommerce,Food Delivery,Bangalore,"corporation of dubai (icd), ascent capital, dfc, the allana group",Series C,121000000.0,https://www.freshtohome.com/
51,2020-10-27,GetVantage,Fintech,Revenue-Based Financing Platform,Mumbai,"chiratae ventures, dream incubators",Seed,5000000.0,https://getvantage.co/
52,2020-10-27,Origo,Advertising,Online Video Editing,Mumbai,sequoia capital india,Series A,15000000.0,https://make.invideo.io/save-50?utm_source=google&utm_medium=cpc&keyword=invideo&matchtype=e&creative=457487298390&placement=&device=c&gclid=CjwKCAjw0On8BRAgEiwAincsHFApJFLwBnhMZbiatURojG_qrQFid7gnQ7Y_8cGkr1cJFzx7Np-JABoCaykQAvD_BwE
53,2020-10-26,Hubilo,IT,Virtual Events Platform,"Wilmington, Delaware, United States",lightspeed venture partners,Seed,4500000.0,https://hubilo.com/
54,2020-10-21,Pocket FM,IT,Audiobook & Podcast App,Bangalore,"tencent, times group and lightspeed india",Series A,5500000.0,https://www.pocketfm.in/
55,2020-10-15,Treebo Hotels,Hospitality,Budget Hospitality Chain,Bangalore,"matrix partners india, saif partners, ward ferry management and bertelsmann india",Unknown,6000000.0,https://www.treebo.com/
56,2020-09-12,mCaffeine,HealthTech,Skincare & Haircare,Mumbai,"amicus capital private equity i llp, amicus capital partners india fund i and rp-sg venture fund 1",Series B,3000000.0,https://www.mcaffeine.com/
57,2020-09-09,Hippo Video,Media,Video Customer Experience(CX) Platform,"Newark, Delaware, United States of Amercia","alpha wave incubation, exfinity venture partners and existing backers.",Series A,4500000.0,https://www.hippovideo.io/
58,2020-09-09,Qshala,Edtech,Online Curiosity Platform for Kids,Bangalore,rainmatter capital,Angel,370000.0,https://www.qshala.com/
59,2020-09-08,Cell Propulsion,Automotive,Electric Mobility Solutions,Bangalore,growx ventures and micelio,pre-Series A,2000000.0,http://www.cellpropulsion.com/idesktop.html
60,2020-09-08,Byju’s,Edtech,Online Tutoring,Bangalore,"silver lake, tiger global, general atlantic and owl ventures",Private Equity,500000000.0,https://byjus.com/
61,2020-09-07,Melorra,Ecommerce,"Online Jewelry Store
",Bangalore,"shadow holdings, lightbox.",Debt Financing,8900000.0,https://www.melorra.com/
62,2020-09-07,1mg,Ecommerce,Online Pharmacy,Gurgaon,"gaja capital, tata capital, partners group",In Progress,100000000.0,https://www.1mg.com/
63,2020-09-03,Railofy,Automotive, WL & RAC protection platform,Mumbai,chiratae ventures,Seed,950000.0,https://www.railofy.com/home/v2?
64,2020-09-02,Winzo,Gaming,Online Gaming,New Delhi,"kalaari capital partners, indigoedge management consultancy",Series B,15500000.0,https://www.winzogames.com/
65,2020-08-31,mfine,HealthTech,On-Demand Healthcare Services,Bangalore,caretech pte inc,Series B,5400000.0,https://www.mfine.co/
66,2020-08-31,Apna,HRTech,Recruitment Platform,Bangalore,lightspeed india and sequoia capital india,Series A,8000000.0,https://apna.co/
67,2020-08-15,Practo,HealthTech,Health care and Wellness,Bangalore,a1a company,Series F,32000000.0,https://www.practo.com/
68,2020-08-14,Niyo,Fintech,Financial Services,Bangalore,niyo solutions inc.,Unknown,6000000.0,
69,2020-08-13,"HungerBox
",FoodTech,Online Food Delivery Service,Bangalore,"one97, sabre partners trust, pratithi investment trust, and srihari kumar",Series D1,1560000.0,https://hungerbox.com/
70,2020-08-13,Medlife,Ecommerce,Online Pharmacy,Bangalore,prasid uno family trust and sc credit fund,Unknown,23000000.0,https://www.medlife.com/
71,2020-08-13,Eduvanz,Fintech,Financial Services,Mumbai,"sequoia india, unitus",Series A,5000000.0,
72,2020-08-12,Classplus,Edtech,"E-learning, Online Tutoring

",Noida,falcon edge,In Progress,15000000.0,
73,2020-08-11,Terra.do,Edtech,"Online Climate School, E-learning","Stanford, California, ","stanford angels and entrepreneurs (india), beenext emerging asia, rainmatter capital",Seed,1400000.0,
74,2020-08-10,ZestMoney,Fintech,Financial Services,Bangalore,primrose hills ventures,Unknown,10670000.0,
75,2020-08-07,FreshToHome,Ecommerce,Food Delivery,Bangalore,ascent capital,Venture ,16200000.0,
76,2020-08-04,Dunzo,Logistics,Online Delivery Services,Bangalore,existing backers,In Progress,30000000.0,
77,2020-08-04,DrinkPrime,CleanTech,Water Purification,Bangalore,"sequoia surge, on mauritius",Pre-Series A,2880000.0,
78,2020-08-04,InVideo,IT,Video Editor,Bangalore,sequoia india,Series A,15000000.0,https://invideo.io
79,2020-08-03,CrowdPouch,Fintech,Financial Services,Bangalore,elina investments pvt. ltd,Angel,2000000.0,
80,2020-07-16,Crio,Edtech,Learning Platform for Developers,Bangalore,021 capital,pre-Series A,934160.0,https://www.crio.do/
81,2020-07-16,Vedantu,Edtech,Online Tutoring,Bangalore,coatue management,Series D,100000000.0,https://www.vedantu.com/
82,2020-07-15,Flipkart,Ecommerce,E-commerce,Bangalore,walmart inc,M&A,1200000000.0,https://www.flipkart.com/
83,2020-07-15,PumPumPum,Automotive,Used Car-leasing platform,Gurgaon,early adapters syndicate,Seed,292800.0,
84,2020-07-14,goDutch,Fintech,Group Payments,Mumbai,"matrix india,y combinator, global founders capital, soma capital, and venturesouq.",Seed,1700000.0,https://www.godutchpay.in/
85,2020-07-14,FLYX,Media,Streaming Social Network,New York and Delhi,"raj mishra, founder of ait global inc",pre-Seed,200000.0,
86,2020-07-13,Open Appliances Pvt. Ltd.,IT,Internet-of-Things Security Solutions,Bangalore,unicorn india ventures,Venture-Series Unknown,500000.0,
87,2020-07-13,"Mystifly
",Hospitality," Ticketing, Airline Retailing, and Post-Ticketing Services ",Singapore and Bangalore,recruit co. ltd.,pre-Series B,3300000.0,
88,2020-07-10,"gigIndia
",Ecommerce,"Crowd Sourcing, Freelance",Pune,incubate fund india and beyond next ventures,pre-Series A,974200.0,
89,2020-07-09,JetSynthesys,Gaming,"Gaming and Entertainment

",Pune,adar poonawalla and kris gopalakrishnan.,Venture-Series Unknown,400000.0,
90,2020-06-18,Drishti Technologies,IT,"Artificial Intelligence, Video Analytics",Mumbai,sozo ventures,Series B,25000000.0,https://drishti.com/
91,2020-06-17,"Peppermint
",Robotics,Industrial Robotics,Mumbai,venture catalysts and naveen kshatriya,Seed,2000000.0,https://www.getpeppermint.co/
92,2020-06-17,Stellaps,Agritech,"Farming, Dairy Management Apps",Bangalore,stride ventures,Debt Financing,2000000.0,https://www.stellapps.com/
93,2020-06-16,"Biomoneta
",Biotech,"HealthTech, Biotechnology Research",Bangalore,"beyond next ventures, arthavida ventures and dr. aniruddha malpani",Seed,2000000.0,https://www.biomoneta.com/
94,2020-06-16,Jai Kisan,Fintech,"AgriTech, Financial Services",Mumbai,arkam ventures and nabventures fund i,Pre-Series A,3934941.0,https://jai-kisan.com/
95,2020-06-15,"LetsTransport

",Logistics,"Logistics, Transportation, Travel",Bangalore,stride ventures,Venture - Series Unknown,1311647.0,https://letstransport.in/
96,2020-06-15,Sai Estate Management and Skills Institute,Edtech,"Education

",Mumbai,suniel shetty,Angel,2000000.0,https://sai-estate.com//
97,2020-06-11,Myelin Foundry,Artificial Intelligence,Artificial Intelligence,Bangalore,kris gopalakrishnan’s family office — pratithi.,Seed,1000000.0,https://myelinfoundry.com/
98,2020-06-10,WayCool Foods,Agritech,Food and Beverage,Chennai,indusland bank,Series C,5500000.0,https://waycool.in/
99,2020-06-10,Hapramp,Blockchain,"Block Chain, Cryptocurrency",Gurugram,anand mahindra,Seed,1000000.0,https://hapramp.com/
100,2020-05-21,leap.club,HRTech,Professional Network for Women,Gurugram,"whiteboard capital (sandeep tandon’s vc fund), firstcheque, artha india ventures, sweta rau (founder, white ventures), amrish rau (ceo pinelabs, founder citrus pay), deepak abbot (former svp, paytm), and harpreet singh grover (co-founder, co-cubes) and others.",Pre Seed,340000.0,https://leap.club/
101,2020-05-21,No Worry No Tension Healthcare (NWNT),HealthTech,"Emotional health and mental health wellness

",New Delhi,"amit burman, chairman of dabur india,",Pre Series A,2000000.0,http://www.nwnt.ai/
102,2020-05-20,"Khatabook
",CleanTech,"Financial Services, Accounting, Payments. ",Bangalore,"b capital group, sequoia india, partners of dst global, tencent, ggv, rtp global, hummingbird ventures, falcon edge capital, rocketship.vc, unilever ventures, kevin weil, alexander will, kunal shah, kunal bahl, and rohit bansal",Series B,60000000.0,https://khatabook.com/
103,2020-05-20,Tring,Advertising,Celebrity Engagement Platform,Mumbai,"tencent, ark impact, kokalyan krishnamurthy of flipkart, sujeet kumar of udaan, gaurav munjal of unacademy, keshav sanghi of ventureworks india, roman saini of unacademy, hemesh singh of unacademy, and sumit jain of opentalk amongst others.",Angel,2000000.0,https://www.tring.co.in/
104,2020-05-19,Vakilsearch,LegalTech,"Online professional services platform for lawyers, corporate bodies, and professionals in India.",Chennai,"udaan co-founder, sujeet kumar",Series A,2000000.0,https://vakilsearch.com/
105,2020-05-19,"Lendingkart
",Fintech,"Financial Services, Lending, Micro Lending.",Ahmedabad,"fullerton financial holdings pte ltd (ffh) and bertelsmann india investments, sistema asia fund and india quotient.",Series D,42000000.0,https://www.lendingkart.com/
106,2020-05-18,LetsTransport,Logistics,"Logistics, Transportation, Travel",Bangalore,innoven capital,Venture - Series Unknown,1700000.0,https://letstransport.in/
107,2020-05-13,Magicpin,Ecommerce,E-commerce,Gurugram,"lightspeed venture partners, along with the participation of moonstone investments, waterbridge venture, the bunting family private fund, and srivatsan rajan",Series C,4000000.0,https://magicpin.in/india/Pune/home/
108,2020-05-11,Nykaa,Ecommerce,Cosmetic and Beauty Products,Mumbai,steadview capital,Series F,8800000.0,https://classplusapp.com/
109,2020-05-05,"Classplus

",Edtech,"e-learning, education solutions.",Noida,"rtp global, lume ventures, sequoia capital india's surge, spiral ventures, and strive.",Series A,9000000.0,https://classplusapp.com/
110,2020-04-15,"BigBasket
",Ecommerce,Online Grocery Delivery,Bangalore,alibaba group,Debt Financing,50000000.0,//www.bigbasket.com/”
111,2020-04-09,Vedantu,Edtech,Online Tutoring,Bangalore,legend capital,Series C1,12560000.0,https://www.vedantu.com/
112,2020-04-08,Fingerlix,Food Delivery,Ready-to-Cook Food,Mumbai,"accel, zephyr peacock, swiggy, and rb investments",Series C,1800000.0,//www.fingerlix.com/”
113,2020-04-08,"Zupee
",Gaming,Gaming,Gurugram,"matrix partners india, falcon edge capital, westcap group, orios venture partners and smile group",Series A,8000000.0,//www.zupee.in/”
114,2020-04-07,DeHaat,Agritech,AgriTech,Patna,"sequoia capital india, fmo, omnivore and agfunder.",Series A,12000000.0,//agrevolution.in/”
115,2020-04-06,Swiggy,Food Delivery,Online Food Delivery,Bangalore,"tencent, ark impact, korea investment partners, samsung ventures, and mirae asset capital markets",Series 1,43000000.0,
116,2020-04-02,Recko,Fintech,AI-powered Reconciliation of Digital Transactions ,Bangalore,vertex ventures southeast asia and india and prime venture partners,Series A,6000000.0,//www.recko.io/”
117,2020-03-31,"Nykaa

",Ecommerce,Cosmetic and Beauty Products,Mumbai,steadview capital,Series F,13000000.0,//www.nykaa.com/”
118,2020-03-13,CollegeKhabri,Edtech,Education,Bhopal,vdiec global,Angel,2000000.0,https://collegekhabri.com/
119,2020-03-12,"FamPay
",Fintech,Online Payment,Bangalore,"y combinator, venture highway, sequoia india, and gfc (global founders capital).",Seed,4700000.0,https://fampay.in/
120,2020-03-12,"Ola Electric
",Automotive,Cab and Bike Taxi,Bangalore,pawan munjal family trust,Series B,1000000.0,
121,2020-03-12,Mera Kisan ,Food & Beverages,Organic Products,Pune,ajinkya rahane,Private Equity,2000000.0,
122,2020-03-12,MultiLiving,Real Estate,Home Renting and Management ,Mumbai,lodha ventures,Series A,6000000.0,https://multiliving.co.in/
123,2020-03-06,"Paperboat
",Ecommerce,Beverages and Snacks,Bangalore,"advent management, a91 emerging fund, and trifecta venture.",Debt Financing,4000000.0,http://www.paperboatdrinks.com/
124,2020-03-04,Soxytoes,Ecommerce,Socks,Noida,angel networks,Angel,2000000.0,https://soxytoes.com/
125,2020-03-02,Chqbook.com,Fintech,Financial Services,Gurugram,aavishkaar capital,Series A,5000000.0,https://www.chqbook.com/
126,2020-02-19,Unacademy,Edtech,Online Tutoring,Bangalore,"general atlantic, sequoia capital india, and facebook",Series D,110000000.0,https://unacademy.com/
127,2020-02-18,MaxWholesale,Ecommerce,B2B platform for groceries,New Delhi,ian fund and al falaj investment co,Series A,3000000.0,https://www.maxwholesale.in/
128,2020-02-14,Simsim,Ecommerce,E-commerce,New Delhi,accel partners,Series B,8000000.0,https://simsim.in/home
129,2020-02-14,Friyey,Real Estate,Co-working Spaces,Pune,tarun bhalla,Seed,2000000.0,https://www.friyey.com/
130,2020-02-11,Moengage,Artificial Intelligence,Intelligent Marketing Cloud,San Francisco/ Bangalore,eight roads ventures,Series C,25000000.0,https://www.moengage.com/
131,2020-02-11,Chaayos,Hospitality,Tea,New Delhi,"think investment, tiger global, saif partners, integrated capital and neeraj arora and innoven capital",Series B,21500000.0,https://www.chaayos.com/
132,2020-02-10,"FirstCry
",Ecommerce,Baby Products,Pune,softbank vision fund,Series E,296000000.0,https://www.firstcry.com/
133,2020-02-10,Pepperfry,Ecommerce,Furniture,Mumbai,pidilite industries,Series F,37000000.0,https://www.pepperfry.com/
134,2020-02-06,Dot,IT,Information Technology and Services,Gurgaon,payu and fosun rz capital,Seed,8000000.0,https://www.dotpe.in/
135,2020-02-05,AlphaVector,Automotive,Bicycles,Mumbai,avaana capital and titan capital,Venture Series ,2000000.0,https://www.frogcycles.in/
136,2020-02-05,WizKlub,Edtech,Online Tutoring,Bangalore,incubate fund india and insitor impact asia fund,Seed,1000000.0,https://wizklub.com/
137,2020-02-03,1mg,Ecommerce,Medicine,Gurugram,bill & melinda gates foundation,Venture Series,10000000.0,https://www.1mg.com/
138,2020-02-03,RACEnergy,Automotive,Electric Vehicle,Hyderabad,growx ventures,Seed,2000000.0,https://www.racenergy.in/
139,2020-02-03,Embibe,Edtech,AI based learning,Mumbai,reliance industries limited (ril),Venture Series,12625020.0,https://www.embibe.com/
140,2020-01-31,"Adonmo
",Advertising,Advertising,Hyderabad,bace capital,Pre-Series A,3000000.0,https://www.adonmo.com/
141,2020-01-31,DoubtNut,Edtech,Online Tutoring,Gurugram,tencent holdings,Series A,15000000.0,https://doubtnut.com/
142,2020-01-30,MultiplyMyLeads,Real Estate,Real Estate,New Delhi,frontline strategy funds and sucseed venture partners.,Venture Series,2000000.0,https://www.multiplymyleads.com/
143,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,chiratae ventures,Series A,9000000.0,https://www.pando.in/
144,2020-01-13,Shuttl,Automotive,App based shuttle service,Gurgaon,susquehanna growth equity,Series C,8048394.0,http://shuttl.com/
145,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,ant financial,Private Equity Round,150000000.0,https://www.zomato.com/
146,2020-01-09,Mamaearth,Ecommerce,Retailer of baby and toddler products,Bangalore,sequoia capital india,Series B,18358860.0,http://mamaearth.in/
147,2020-01-09,BYJU’S,Edtech,E-learning,Bangalore,tiger global management,Private Equity Round,200000000.0,http://byjus.com/
148,2020-01-02,Fashor,Fashion,Embroiled Clothes For Women,Mumbai,sprout venture partners,Seed Round,1800000.0,https://fashor.com/
149,2020-01-02,https://www.wealthbucket.in/,Fintech,Online Investment,New Delhi,vinod khatumal,Pre-series A,3000000.0,
150,2019-12-20,Lenskart.com,Ecommerce,Online Eyewear Shopping Portal,Faridabad,softbank vision fund,Series G,231000000.0,http://www.lenskart.com/
151,2019-12-17,Healthians,B2B,Food Solutions For Corporate,Bangalore,"paytm, nptk, sabre partners and neoplux",Series C,12000000.0,http://www.healthians.com/
153,2019-12-16,Licious,Ecommerce,Online Meat And Seafood Ordering Startup,Bangalore,vertex growth fund,Series E,30000000.0,http://www.licious.in/
154,2019-12-14,Trell,Media,Experience Discovery Platform,Bangalore,ruizheng investment,Seed Round,2000000.0,https://trell.co/
155,2019-12-13,Rivigo,IT,Logistics Services and Solutions,Gurgaon,"saif partners, spring canter investment ltd.",Series F,20000000.0,http://rivigo.com/
156,2019-12-12,Ecozen,IT,Agritech,Pune,sathguru catalyzer advisors,Series A,6000000.0,https://ecozensolutions.com/
157,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,manipal education and medical group (memg),Seed Round,50000000.0,https://www.reingames.com/
158,2019-12-06,CarDekho,Ecommerce,Automobile,Gurgaon,ping an global voyager fund,Series D,70000000.0,http://www.cardekho.com/
159,2019-12-03,Dhruva Space,aerospace,Satellite Communication,Bangalore,"mumbai angels, ravikanth reddy",Seed,50000000.0,https://www.dhruvaspace.com/
160,2019-11-25,Paytm,Fintech,Mobile Wallet,Noida,vijay shekhar sharma,Funding Round ,1000000000.0,https://paytm.com/
161,2019-11-20,Aye Finance ,Fintech,Financial Services To MSMEs,Gurgaon,fintech,Debt Funding,17411265.0,http://www.ayefin.com/
162,2019-11-20,Clumio,B2B SaaS,Recovery software,"San Jose,","altimeter capital, sutter hill ventures",Series C,135000000.0,http://www.clumio.com/
163,2019-11-19,Digital Mall Asia,Ecommerce,Virtual e-commerce platform,Delhi,amour infrastructure,Seed Funding,220000000.0,http://www.digitalmallofasia.com/
164,2019-11-19,Furtados School of Music,Edtech,Music Education,Tulangan,ian fund and dsg consumer partners,Unknown,200000000.0,http://furtadosschoolofmusic.com/
165,2019-11-18,Healthians,HealthTech,Healthcare services ,Gurgaon,"dg daiwa ventures, dg incubation",Series B,12000000.0,http://www.healthians.com/
166,2019-11-18,Medikabazaar,HealthTech,B2B platform for medical supplies,Mumbai,"ackermans & van haaren, healthquad, rebright partners, toppan printing",Series B,15800000.0,https://www.medikabazaar.com/
167,2019-11-17,Burger Singh,Food & Beverages,Indian Burger Brand,Gurgaon,rb investments,Venture,2000000.0,http://burgersinghonline.com/
168,2019-11-15,Ninjacart,B2B,Agritech ,Bangalore,trifecta capital advisors,Debt Funding,26000000.0,http://ninjacart.com/
169,2019-11-15,Vogo Automotive,Automotive,Scooter sharing app,Kormangala,"matrix partners, stellaris venture partners, kalaari capital",Series B,283000000.0,http://www.vogo.in/
170,2019-11-14,Misters,HealthTech,Men's Health and Wellness brand,Gurgaon,"sauce.vc, rainforest ventures",Series B,486000.0,https://misters.in/en/
171,2019-11-13,Sunstone Eduversity Pvt. Ltd,Edtech,Elearning,Gurgaon,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",Seed,1500000.0,http://sunstone.edu.in/
172,2019-11-13,Freshworks,IT,Business and customer engagement tools,San Francisco,"sequoia, capitalg, accel",Series H,150000000.0,https://www.freshworks.com/
173,2019-11-12,SuperGaming ,Media,Social gaming platform,Pune,dream incubator,Seed Funding,1300000.0,https://supergaming.net/
174,2019-11-11,eBikeGo,Automotive,Electric bike rental,Amritsar,startup buddy,Seed,300000.0,http://www.ebikego.in/
175,2019-10-21,"The Man Company 
",Consumer Internet,Beauty and Grooming,Gurgaon,ayushmann khurana,Corporate Round,2000000.0,http://www.themancompany.com/
176,2019-10-04,Dunzo,customer service,Delivery Service,Bangalore,lightbox,Series D,45000000.0,http://dunzo.in/
177,2019-10-02,Udaan,B2B,Business development,Bangalore,"altimeter capital, dst global",Series D,585000000.0,https://udaan.com/
178,2019-09-05,FPL Technologies,Fintech,Financial Services,Pune,"matrix partners india, sequoia india",Maiden Round,4500000.0,https://onescore.app/
179,2019-09-04,75F,IoT,Building automation system,Burnsville,breakthrough energy ventures,Series A,18000000.0,http://75f.io/
180,2019-09-04,Cashflo,Fintech,Invoice discounting platform and SME lending marketplace,Mumbai,saif partners,Series A,3300000.0,https://www.cashflo.io/
181,2019-09-04,Digital F5,Advertising,Digital marketing firm,Mumbai,tiw private equity,Private Equity Round,6000000.0,http://www.digitalf5.com/
182,2019-09-04,3rdFlix,B2B SaaS,Education Technology ,Hyderabad,exfinity venture partners,pre-series A,5000000.0,https://3rdflix.com/
183,2019-09-04,Myelin Foundry,IT,Deep-technology,Bangalore,endiya partners,Seed,1000000.0,http://myelinfoundry.com/
184,2019-09-04,Atomberg Technology,Consumer Internet,"Consumer Electronics, Home Appliances",Mumbai,a91 partners,Series A,10000000.0,http://atomberg.com/
185,2019-09-04,GOQii,HealthTech,Wearable Fitness Bands,Menlo Park,bennett coleman and company ltd (bccl),Series C,450000000.0,http://goqii.com/
186,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"india quotient, axilor ventures",Series A,5000000.0,https://vyaparapp.in/
